Order ID,Fiscal Year,Consumer Gender,Consumer Ethnicity ,First Time Customer,Region,State,Product #,Product Line
1004844,y13,M,Race6,,G,CA,Product 1,Line 1
557877,y13,F,Race5,,G,CA,Product 1,Line 1
557877,y13,F,Race5,,G,CA,Product 1,Line 1
1005223,y13,F,Race2,,G,CA,Product 1,Line 1
561188,y13,F,Race5,,G,CA,Product 1,Line 1
926851,y13,F,Race6,FG,G,CA,Product 1,Line 1
940548,y13,M,Race3,FG,G,CA,Product 1,Line 1
927134,y13,F,Race6,,G,CA,Product 1,Line 1
918515,y13,M,Race6,FG,G,CA,Product 1,Line 1
561188,y13,F,Race5,,G,CA,Product 1,Line 1
943882,y13,M,Race6,FG,G,CA,Product 1,Line 1
1001776,y13,M,Race4,,G,CA,Product 1,Line 1
561188,y13,F,Race5,,G,CA,Product 1,Line 1
928549,y13,M,Race2,,G,CA,Product 1,Line 1
561188,y13,F,Race5,,G,CA,Product 1,Line 1
561188,y13,F,Race5,,G,CA,Product 1,Line 1
925700,y13,F,Race6,,G,CA,Product 1,Line 1
1004844,y13,M,Race6,,G,CA,Product 1,Line 1
928908,y13,F,Race2,FG,G,CA,Product 1,Line 1
1001193,y13,F,Race4,,G,CA,Product 1,Line 1
940548,y13,M,Race3,FG,G,CA,Product 1,Line 1
943882,y13,M,Race6,FG,G,CA,Product 1,Line 1
1004558,y13,M,Race2,,G,CA,Product 1,Line 1
1001776,y13,M,Race4,,G,CA,Product 1,Line 1
929426,y13,F,Race6,FG,G,CA,Product 1,Line 1
1002814,y13,F,Race4,,G,CA,Product 1,Line 1
1002686,y13,M,Race2,,G,CA,Product 1,Line 1
925700,y13,F,Race6,,G,CA,Product 1,Line 1
928908,y13,F,Race2,FG,G,CA,Product 1,Line 1
1003802,y13,F,Race8,,G,CA,Product 1,Line 1
904402,y13,M,Race2,,G,CA,Product 1,Line 1
1001193,y13,F,Race4,,G,CA,Product 1,Line 1
918085,y13,F,Race2,,G,CA,Product 1,Line 1
925933,y13,F,Race8,FG,G,CA,Product 1,Line 1
1004558,y13,M,Race2,,G,CA,Product 1,Line 1
929426,y13,F,Race6,FG,G,CA,Product 1,Line 1
1003801,y13,F,Race6,,G,CA,Product 1,Line 1
1004839,y13,M,Race2,,G,CA,Product 1,Line 1
925948,y13,F,Race2,FG,G,CA,Product 1,Line 1
1002686,y13,M,Race2,,G,CA,Product 1,Line 1
1003802,y13,F,Race8,,G,CA,Product 1,Line 1
904402,y13,M,Race2,,G,CA,Product 1,Line 1
918085,y13,F,Race2,,G,CA,Product 1,Line 1
925933,y13,F,Race8,FG,G,CA,Product 1,Line 1
950812,y13,F,Race2,,G,CA,Product 1,Line 1
1003801,y13,F,Race6,,G,CA,Product 1,Line 1
1004554,y13,F,Race4,,G,CA,Product 1,Line 1
1004839,y13,M,Race2,,G,CA,Product 1,Line 1
925948,y13,F,Race2,FG,G,CA,Product 1,Line 1
927031,y13,M,Race6,,G,CA,Product 1,Line 1
927943,y13,M,Race6,,G,CA,Product 1,Line 1
833968,y13,F,Race4,,G,CA,Product 1,Line 1
950812,y13,F,Race2,,G,CA,Product 1,Line 1
1004554,y13,F,Race4,,G,CA,Product 1,Line 1
920565,y13,M,Race3,,G,CA,Product 1,Line 1
927031,y13,M,Race6,,G,CA,Product 1,Line 1
926337,y13,M,Race6,,G,CA,Product 1,Line 1
1004866,y13,M,Race4,,G,CA,Product 1,Line 1
927943,y13,M,Race6,,G,CA,Product 1,Line 1
193563,y13,M,Race6,,G,CA,Product 1,Line 1
1002852,y13,M,Race4,,G,CA,Product 1,Line 1
918472,y13,M,Race6,FG,G,CA,Product 1,Line 1
833968,y13,F,Race4,,G,CA,Product 1,Line 1
933570,y13,F,Race8,,G,CA,Product 1,Line 1
920565,y13,M,Race3,,G,CA,Product 1,Line 1
926337,y13,M,Race6,,G,CA,Product 1,Line 1
1004866,y13,M,Race4,,G,CA,Product 1,Line 1
928521,y13,F,Race3,FG,G,CA,Product 1,Line 1
927750,y13,F,Race6,,G,CA,Product 1,Line 1
949533,y13,M,Race4,,G,CA,Product 1,Line 1
945428,y13,M,Race6,,G,CA,Product 1,Line 1
1002852,y13,M,Race4,,G,CA,Product 1,Line 1
926224,y13,M,Race6,FG,G,CA,Product 1,Line 1
918472,y13,M,Race6,FG,G,CA,Product 1,Line 1
926790,y13,F,Race2,,G,CA,Product 1,Line 1
999594,y13,F,Race6,,G,CA,Product 1,Line 1
933570,y13,F,Race8,,G,CA,Product 1,Line 1
928521,y13,F,Race3,FG,G,CA,Product 1,Line 1
998209,y13,M,Race6,,G,CA,Product 1,Line 1
1004563,y13,F,Race4,,G,CA,Product 1,Line 1
946716,y13,M,Race3,FG,G,CA,Product 1,Line 1
950066,y13,F,Race6,FG,G,CA,Product 1,Line 1
926081,y13,F,Race6,,G,CA,Product 1,Line 1
927750,y13,F,Race6,,G,CA,Product 1,Line 1
949533,y13,M,Race4,,G,CA,Product 1,Line 1
945428,y13,M,Race6,,G,CA,Product 1,Line 1
745026,y13,M,Race6,,G,CA,Product 1,Line 1
730650,y13,F,Race5,,G,CA,Product 1,Line 1
745026,y13,M,Race6,,G,CA,Product 1,Line 1
730650,y13,F,Race5,,G,CA,Product 1,Line 1
730650,y13,F,Race5,,G,CA,Product 1,Line 1
730650,y13,F,Race5,,G,CA,Product 1,Line 1
730650,y13,F,Race5,,G,CA,Product 1,Line 1
742862,y13,F,Race5,,G,CA,Product 1,Line 1
742862,y13,F,Race5,,G,CA,Product 1,Line 1
742862,y13,F,Race5,,G,CA,Product 1,Line 1
742862,y13,F,Race5,,G,CA,Product 1,Line 1
742862,y13,F,Race5,,G,CA,Product 1,Line 1
742862,y13,F,Race5,,G,CA,Product 1,Line 1
742862,y13,F,Race5,,G,CA,Product 1,Line 1
742862,y13,F,Race5,,G,CA,Product 1,Line 1
742862,y13,F,Race5,,G,CA,Product 1,Line 1
819562,y13,M,Race5,,,CA,Product 1,Line 1
819562,y13,M,Race5,,,CA,Product 1,Line 1
821144,y13,F,Race5,,G,CA,Product 1,Line 1
821144,y13,F,Race5,,G,CA,Product 1,Line 1
821144,y13,F,Race5,,G,CA,Product 1,Line 1
821144,y13,F,Race5,,G,CA,Product 1,Line 1
810885,y13,#N/A,Race5,#N/A,G,CA,Product 1,Line 1
810885,y13,#N/A,Race5,#N/A,G,CA,Product 1,Line 1
811844,y13,M,Race6,,G,CA,Product 1,Line 1
829551,y13,F,Race5,,G,CA,Product 1,Line 1
829551,y13,F,Race5,,G,CA,Product 1,Line 1
811844,y13,M,Race6,,G,CA,Product 1,Line 1
811844,y13,M,Race6,0,G,CA,Product 1,Line 1
829551,y13,F,Race5,,G,CA,Product 1,Line 1
829551,y13,F,Race5,,G,CA,Product 1,Line 1
829551,y13,F,Race5,,G,CA,Product 1,Line 1
829551,y13,F,Race5,,G,CA,Product 1,Line 1
813895,y13,M,Race6,,G,CA,Product 1,Line 1
813895,y13,M,Race6,0,G,CA,Product 1,Line 1
829551,y13,F,Race5,,G,CA,Product 1,Line 1
827149,y13,M,Race3,FG,G,CA,Product 1,Line 1
829551,y13,F,Race5,,G,CA,Product 1,Line 1
827149,y13,M,Race3,FG,G,CA,Product 1,Line 1
830271,y13,M,Race3,FG,G,CA,Product 1,Line 1
830271,y13,M,Race3,FG,G,CA,Product 1,Line 1
833968,y13,F,Race4,,G,CA,Product 1,Line 1
833968,y13,F,Race4,0,G,CA,Product 1,Line 1
833968,y13,F,Race4,0,G,CA,Product 1,Line 1
836356,y13,M,Race6,,G,CA,Product 1,Line 1
838907,y13,M,Race6,FG,G,CA,Product 1,Line 1
838907,y13,M,Race6,FG,G,CA,Product 1,Line 1
838907,y13,M,Race6,FG,G,CA,Product 1,Line 1
931507,y13,M,Race6,,G,CA,Product 1,Line 1
931507,y13,M,Race6,,G,CA,Product 1,Line 1
961010,y13,F,Race2,,G,CA,Product 1,Line 1
708189,y13,M,Race7,,G,CA,Product 1,Line 1
890333,y13,F,Race3,FG,G,CA,Product 1,Line 1
998100,y13,F,Race2,,G,CA,Product 1,Line 1
863041,y13,M,Race2,,G,CA,Product 1,Line 1
905915,y13,F,Race6,,G,CA,Product 1,Line 1
872237,y13,M,Race5,,G,CA,Product 1,Line 1
872237,y13,M,Race5,,G,CA,Product 1,Line 1
880996,y13,M,Race5,,G,CA,Product 1,Line 1
991002,y13,F,Race6,,G,CA,Product 1,Line 1
880996,y13,M,Race5,,G,CA,Product 1,Line 1
880996,y14,M,Race5,,G,CA,Product 1,Line 1
880996,y14,M,Race5,,G,CA,Product 1,Line 1
880996,y14,M,Race5,,G,CA,Product 1,Line 1
880996,y14,M,Race5,,G,CA,Product 1,Line 1
880996,y14,M,Race5,,G,CA,Product 1,Line 1
907080,y14,M,Race2,,G,CA,Product 1,Line 1
880996,y14,M,Race5,,G,CA,Product 1,Line 1
880996,y14,M,Race5,,G,CA,Product 1,Line 1
877417,y14,F,Race6,FG,G,CA,Product 1,Line 1
997829,y14,M,Race7,,G,CA,Product 1,Line 1
961010,y14,F,Race2,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
863041,y14,M,Race2,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
905915,y14,F,Race6,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
882524,y14,M,Race5,,G,CA,Product 1,Line 1
991002,y14,F,Race6,,G,CA,Product 1,Line 1
892402,y14,M,Race3,,G,CA,Product 1,Line 1
811844,y14,M,Race6,,G,CA,Product 1,Line 1
907080,y14,M,Race2,,G,CA,Product 1,Line 1
877417,y14,F,Race6,FG,G,CA,Product 1,Line 1
997829,y14,M,Race7,,G,CA,Product 1,Line 1
884553,y14,F,Race3,FG,G,CA,Product 1,Line 1
961010,y14,F,Race2,,G,CA,Product 1,Line 1
863041,y14,M,Race2,,G,CA,Product 1,Line 1
905915,y14,F,Race6,,G,CA,Product 1,Line 1
991002,y14,F,Race6,,G,CA,Product 1,Line 1
892402,y14,M,Race3,,G,CA,Product 1,Line 1
811844,y14,M,Race6,,G,CA,Product 1,Line 1
884553,y14,F,Race3,FG,G,CA,Product 1,Line 1
556735,y14,M,Race4,,G,CA,Product 1,Line 1
892402,y14,M,Race3,,G,CA,Product 1,Line 1
811844,y14,M,Race6,,G,CA,Product 1,Line 1
884553,y14,F,Race3,FG,G,CA,Product 1,Line 1
921116,y14,M,Race1,FG,G,CA,Product 1,Line 1
556735,y14,M,Race4,,G,CA,Product 1,Line 1
997851,y14,M,Race2,,G,CA,Product 1,Line 1
998102,y14,F,Race3,,G,CA,Product 1,Line 1
921116,y14,M,Race1,FG,G,CA,Product 1,Line 1
556735,y14,M,Race4,,G,CA,Product 1,Line 1
997851,y14,M,Race2,,G,CA,Product 1,Line 1
708189,y14,M,Race7,,G,CA,Product 1,Line 1
890333,y14,F,Race3,FG,G,CA,Product 1,Line 1
998100,y14,F,Race2,,G,CA,Product 1,Line 1
998102,y14,F,Race3,,G,CA,Product 1,Line 1
921116,y14,M,Race1,FG,G,CA,Product 1,Line 1
902371,y14,F,Race5,,G,CA,Product 1,Line 1
902371,y14,F,Race5,,G,CA,Product 1,Line 1
902501,y14,M,Race5,,G,CA,Product 1,Line 1
997851,y14,M,Race2,,G,CA,Product 1,Line 1
904911,y14,M,Race5,,G,CA,Product 1,Line 1
708189,y14,M,Race7,,G,CA,Product 1,Line 1
890333,y14,F,Race3,FG,G,CA,Product 1,Line 1
998102,y14,F,Race3,,G,CA,Product 1,Line 1
998100,y14,F,Race2,,G,CA,Product 1,Line 1
907080,y14,M,Race2,,G,CA,Product 1,Line 1
810578,y14,M,Race3,,G,CA,Product 1,Line 1
997829,y14,M,Race7,,G,CA,Product 1,Line 1
863025,y14,F,Race3,FG,G,CA,Product 1,Line 1
863025,y14,F,Race3,FG,G,CA,Product 1,Line 1
863041,y14,M,Race2,,G,CA,Product 1,Line 1
909482,y14,F,Race5,,G,CA,Product 1,Line 1
909482,y14,F,Race5,,G,CA,Product 1,Line 1
909482,y14,F,Race5,,G,CA,Product 1,Line 1
909482,y14,F,Race5,,G,CA,Product 1,Line 1
863041,y14,M,Race2,,G,CA,Product 1,Line 1
863041,y14,M,Race2,0,G,CA,Product 1,Line 1
863269,y14,M,Race6,,G,CA,Product 1,Line 1
863269,y14,M,Race6,0,G,CA,Product 1,Line 1
864261,y14,M,Race6,,G,CA,Product 1,Line 1
864261,y14,M,Race6,,G,CA,Product 1,Line 1
864261,y14,M,Race6,0,G,CA,Product 1,Line 1
911826,y14,F,Race5,,G,CA,Product 1,Line 1
911952,y14,F,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
870167,y14,#N/A,Race5,#N/A,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
870167,y14,#N/A,Race5,#N/A,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
911993,y14,M,Race5,,G,CA,Product 1,Line 1
872774,y14,M,Race7,FG,G,CA,Product 1,Line 1
873135,y14,F,Race2,,G,CA,Product 1,Line 1
873135,y14,F,Race2,,G,CA,Product 1,Line 1
873135,y14,F,Race2,0,G,CA,Product 1,Line 1
876340,y14,M,Race6,,G,CA,Product 1,Line 1
876340,y14,M,Race6,,G,CA,Product 1,Line 1
876340,y14,M,Race6,0,G,CA,Product 1,Line 1
876974,y14,F,Race3,,G,CA,Product 1,Line 1
876974,y14,F,Race3,,G,CA,Product 1,Line 1
876974,y14,F,Race3,0,G,CA,Product 1,Line 1
877417,y14,F,Race6,FG,G,CA,Product 1,Line 1
877417,y14,F,Race6,FG,G,CA,Product 1,Line 1
884553,y14,F,Race3,FG,G,CA,Product 1,Line 1
884553,y14,F,Race3,FG,G,CA,Product 1,Line 1
884846,y14,F,Race1,FG,G,CA,Product 1,Line 1
884846,y14,F,Race1,FG,G,CA,Product 1,Line 1
884846,y14,F,Race1,FG,G,CA,Product 1,Line 1
884960,y14,F,Race6,,G,CA,Product 1,Line 1
884960,y14,F,Race6,,G,CA,Product 1,Line 1
884960,y14,F,Race6,0,G,CA,Product 1,Line 1
885940,y14,M,Race3,FG,G,CA,Product 1,Line 1
885940,y14,M,Race3,FG,G,CA,Product 1,Line 1
886040,y14,F,Race6,,G,CA,Product 1,Line 1
886040,y14,F,Race6,,G,CA,Product 1,Line 1
886040,y14,F,Race6,0,G,CA,Product 1,Line 1
886209,y14,M,Race1,FG,G,CA,Product 1,Line 1
887396,y14,F,Race2,,G,CA,Product 1,Line 1
888090,y14,M,Race3,,G,CA,Product 1,Line 1
888090,y14,M,Race3,,G,CA,Product 1,Line 1
888090,y14,M,Race3,0,G,CA,Product 1,Line 1
890333,y14,F,Race3,FG,G,CA,Product 1,Line 1
890333,y14,F,Race3,FG,G,CA,Product 1,Line 1
890333,y14,F,Race3,FG,G,CA,Product 1,Line 1
890781,y14,F,Race3,,G,CA,Product 1,Line 1
890781,y14,F,Race3,,G,CA,Product 1,Line 1
890781,y14,F,Race3,0,G,CA,Product 1,Line 1
892402,y14,M,Race3,,G,CA,Product 1,Line 1
892402,y14,M,Race3,0,G,CA,Product 1,Line 1
892402,y14,M,Race3,0,G,CA,Product 1,Line 1
892462,y14,M,Race3,,G,CA,Product 1,Line 1
892462,y14,M,Race3,0,G,CA,Product 1,Line 1
892462,y14,M,Race3,0,G,CA,Product 1,Line 1
895788,y14,F,Race3,FG,G,CA,Product 1,Line 1
895788,y14,F,Race3,FG,G,CA,Product 1,Line 1
895917,y14,M,Race6,FG,G,CA,Product 1,Line 1
895917,y14,M,Race6,FG,G,CA,Product 1,Line 1
899661,y14,M,Race6,FG,G,CA,Product 1,Line 1
899661,y14,M,Race6,FG,G,CA,Product 1,Line 1
899760,y14,M,Race1,0,G,CA,Product 1,Line 1
900679,y14,#N/A,Race5,#N/A,G,CA,Product 1,Line 1
903937,y14,F,Race3,FG,G,CA,Product 1,Line 1
903937,y14,F,Race3,FG,G,CA,Product 1,Line 1
904402,y14,M,Race2,,G,CA,Product 1,Line 1
904402,y14,M,Race2,,G,CA,Product 1,Line 1
904402,y15,M,Race2,0,G,CA,Product 1,Line 1
752854,y15,F,Race3,,G,CA,Product 1,Line 1
752854,y15,F,Race3,,G,CA,Product 1,Line 1
752854,y15,F,Race3,,G,CA,Product 1,Line 1
752854,y15,F,Race3,,G,CA,Product 1,Line 1
953697,y15,M,Race6,,G,CA,Product 1,Line 1
953697,y15,M,Race6,,G,CA,Product 1,Line 1
1007173,y15,F,Race4,,G,CA,Product 1,Line 1
927008,y15,F,Race6,,G,CA,Product 1,Line 1
1005018,y15,M,Race4,,G,CA,Product 1,Line 1
927857,y15,M,Race6,FG,G,CA,Product 1,Line 1
927023,y15,M,Race3,,G,CA,Product 1,Line 1
926472,y15,M,Race6,,G,CA,Product 1,Line 1
928375,y15,F,Race3,,G,CA,Product 1,Line 1
926409,y15,M,Race6,FG,G,CA,Product 1,Line 1
912766,y15,M,Race5,,,CA,Product 1,Line 1
912766,y15,M,Race5,,,CA,Product 1,Line 1
912771,y15,M,Race5,,G,CA,Product 1,Line 1
912840,y15,F,Race5,,G,CA,Product 1,Line 1
1005676,y15,M,Race4,,G,CA,Product 1,Line 1
953697,y15,M,Race6,,G,CA,Product 1,Line 1
926580,y15,M,Race8,FG,G,CA,Product 1,Line 1
960457,y15,F,Race6,,G,CA,Product 1,Line 1
927144,y15,M,Race2,,G,CA,Product 1,Line 1
913077,y15,M,Race5,,,CA,Product 1,Line 1
913077,y15,M,Race5,,,CA,Product 1,Line 1
1005672,y15,F,Race4,,G,CA,Product 1,Line 1
718230,y15,M,Race6,FG,G,CA,Product 1,Line 1
995433,y15,M,Race6,,G,CA,Product 1,Line 1
1007087,y15,M,Race4,,G,CA,Product 1,Line 1
888090,y15,M,Race3,,G,CA,Product 1,Line 1
884960,y15,F,Race6,,G,CA,Product 1,Line 1
932096,y15,M,Race3,FG,G,CA,Product 1,Line 1
1007086,y15,F,Race3,,G,CA,Product 1,Line 1
928635,y15,M,Race6,,G,CA,Product 1,Line 1
927769,y15,F,Race3,,G,CA,Product 1,Line 1
1006880,y15,F,Race4,,G,CA,Product 1,Line 1
913183,y15,M,Race5,,,CA,Product 1,Line 1
1005275,y15,M,Race4,,G,CA,Product 1,Line 1
1007162,y15,M,Race2,,G,CA,Product 1,Line 1
1007146,y15,F,Race3,,G,CA,Product 1,Line 1
884846,y15,F,Race1,FG,G,CA,Product 1,Line 1
927769,y15,F,Race3,,G,CA,Product 1,Line 1
1007145,y15,F,Race2,,G,CA,Product 1,Line 1
913893,y15,M,Race5,,G,CA,Product 1,Line 1
913893,y15,M,Race5,,G,CA,Product 1,Line 1
480042,y15,F,Race3,,G,CA,Product 1,Line 1
913893,y15,M,Race5,,G,CA,Product 1,Line 1
886040,y15,F,Race6,,G,CA,Product 1,Line 1
913893,y15,M,Race5,,G,CA,Product 1,Line 1
926334,y15,M,Race6,,G,CA,Product 1,Line 1
914017,y15,M,Race5,,G,CA,Product 1,Line 1
953697,y15,M,Race6,,G,CA,Product 1,Line 1
926852,y15,F,Race6,,G,CA,Product 1,Line 1
914017,y15,M,Race5,,G,CA,Product 1,Line 1
914017,y15,M,Race5,,G,CA,Product 1,Line 1
953697,y15,M,Race6,,G,CA,Product 1,Line 1
914017,y15,M,Race5,,G,CA,Product 1,Line 1
940739,y15,F,Race2,,G,CA,Product 1,Line 1
914017,y15,M,Race5,,G,CA,Product 1,Line 1
914017,y15,M,Race5,,G,CA,Product 1,Line 1
914017,y15,M,Race5,,G,CA,Product 1,Line 1
905293,y15,F,Race3,FG,G,CA,Product 1,Line 1
905472,y15,F,Race6,,G,CA,Product 1,Line 1
914714,y15,F,Race5,,G,CA,Product 1,Line 1
914714,y15,F,Race5,,G,CA,Product 1,Line 1
905472,y15,F,Race6,0,G,CA,Product 1,Line 1
914714,y15,F,Race5,,G,CA,Product 1,Line 1
914714,y15,F,Race5,,G,CA,Product 1,Line 1
914714,y15,F,Race5,,G,CA,Product 1,Line 1
905915,y15,F,Race6,,G,CA,Product 1,Line 1
914714,y15,F,Race5,,G,CA,Product 1,Line 1
905915,y15,F,Race6,,G,CA,Product 1,Line 1
905915,y15,F,Race6,0,G,CA,Product 1,Line 1
914714,y15,F,Race5,,G,CA,Product 1,Line 1
914714,y15,F,Race5,,G,CA,Product 1,Line 1
914714,y15,F,Race5,,G,CA,Product 1,Line 1
907080,y15,M,Race2,,G,CA,Product 1,Line 1
907080,y15,M,Race2,,G,CA,Product 1,Line 1
907080,y15,M,Race2,0,G,CA,Product 1,Line 1
918570,y15,F,Race5,,G,CA,Product 1,Line 1
918570,y15,F,Race5,,G,CA,Product 1,Line 1
918572,y15,F,Race5,,G,CA,Product 1,Line 1
918572,y15,F,Race5,,G,CA,Product 1,Line 1
920562,y15,F,Race5,,G,CA,Product 1,Line 1
920562,y15,F,Race5,,G,CA,Product 1,Line 1
920562,y15,F,Race5,,G,CA,Product 1,Line 1
957246,y15,F,Race3,,G,CA,Product 1,Line 1
957246,y15,F,Race3,,G,CA,Product 1,Line 1
955939,y15,M,Race3,,G,CA,Product 1,Line 1
953218,y15,F,Race1,,G,CA,Product 1,Line 1
955939,y15,M,Race3,,G,CA,Product 1,Line 1
953218,y15,F,Race1,,G,CA,Product 1,Line 1
957246,y15,F,Race3,,G,CA,Product 1,Line 1
955938,y15,M,Race6,,G,CA,Product 1,Line 1
955938,y15,M,Race6,,G,CA,Product 1,Line 1
953657,y15,M,Race6,,G,CA,Product 1,Line 1
953657,y15,M,Race6,,G,CA,Product 1,Line 1
955939,y15,M,Race3,,G,CA,Product 1,Line 1
950998,y15,M,Race2,,G,CA,Product 1,Line 1
953218,y15,F,Race1,,G,CA,Product 1,Line 1
957246,y15,F,Race3,,G,CA,Product 1,Line 1
950998,y15,M,Race2,,G,CA,Product 1,Line 1
690088,y15,F,Race3,,G,CA,Product 1,Line 1
955938,y15,M,Race6,,G,CA,Product 1,Line 1
951689,y15,F,Race7,,G,CA,Product 1,Line 1
690088,y15,F,Race3,,G,CA,Product 1,Line 1
951689,y15,F,Race7,,G,CA,Product 1,Line 1
953657,y15,M,Race6,,G,CA,Product 1,Line 1
955939,y15,M,Race3,,G,CA,Product 1,Line 1
953218,y15,F,Race1,,G,CA,Product 1,Line 1
957350,y15,M,Race6,,G,CA,Product 1,Line 1
957507,y15,M,Race6,,G,CA,Product 1,Line 1
957271,y15,M,Race1,,G,CA,Product 1,Line 1
950998,y15,M,Race2,,G,CA,Product 1,Line 1
957507,y15,M,Race6,,G,CA,Product 1,Line 1
957271,y15,M,Race1,,G,CA,Product 1,Line 1
955938,y15,M,Race6,,G,CA,Product 1,Line 1
690088,y15,F,Race3,,G,CA,Product 1,Line 1
953657,y15,M,Race6,,G,CA,Product 1,Line 1
951689,y15,F,Race7,,G,CA,Product 1,Line 1
950998,y15,M,Race2,,G,CA,Product 1,Line 1
957350,y15,M,Race6,,G,CA,Product 1,Line 1
957507,y15,M,Race6,,G,CA,Product 1,Line 1
957271,y15,M,Race1,,G,CA,Product 1,Line 1
690088,y15,F,Race3,,G,CA,Product 1,Line 1
956922,y15,F,Race6,,G,CA,Product 1,Line 1
951689,y15,F,Race7,,G,CA,Product 1,Line 1
956922,y15,F,Race6,,G,CA,Product 1,Line 1
955962,y15,F,Race1,,G,CA,Product 1,Line 1
955962,y15,F,Race1,,G,CA,Product 1,Line 1
956921,y15,M,Race3,,G,CA,Product 1,Line 1
957507,y15,M,Race6,,G,CA,Product 1,Line 1
